hunt_code,open_date,close_date,bag_limit_description,notes
X6B,2026-10-04,2026-10-19,Zone X6b General Season - Buck,Page 67
X7A,2026-10-04,2026-10-19,Zone X7a General Season - Buck,Page 67
X7B,2026-10-04,2026-10-19,Zone X7b General Season - Buck,Page 67
X8,2026-09-27,2026-10-12,Zone X8 General Season - Buck,Page 67
X9A,2026-09-20,2026-10-13,Zone X9a General Season - Buck,Page 67
X9B,2026-09-20,2026-10-13,Zone X9b General Season - Buck,Page 67
X9C,2026-10-18,2026-11-09,Zone X9c General Season - Buck,Page 67
X10,2026-09-27,2026-10-12,Zone X10 General Season - Buck,Page 67
X12,2026-09-20,2026-10-13,Zone X12 General Season - Buck,Page 67
A1,2026-08-16,2026-08-31,,Page 70
A3,2026-08-16,2026-09-07,Archery Hunt In Zone X1 - Buck,Page 70
A4,2026-08-16,2026-09-07,Archery Hunt In Zone X2 - Buck,Page 70
A5,2026-08-16,2026-09-07,Archery Hunt In Zone X3a - Buck,Page 70
A6,2026-08-16,2026-09-07,Archery Hunt In Zone X3b - Buck,Page 70
A7,2026-08-16,2026-09-07,Archery Hunt In Zone X4 - Buck,Page 70
A8,2026-08-16,2026-09-07,Archery Hunt In Zone X5a - Buck,Page 70
A9,2026-08-16,2026-09-07,Archery Hunt In Zone X5b - Buck,Page 70
A19,2026-08-16,2026-08-31,Archery Hunt in X10 - Buck,Page 70
A11,2026-08-16,2026-09-07,Archery Hunt In Zone X6a - Buck,Page 70
A12,2026-08-16,2026-09-07,Archery Hunt In Zone X6b - Buck,Page 70
A13,2026-08-16,2026-09-07,Archery Hunt In Zone X7a - Buck,Page 70
A14,2026-08-16,2026-09-07,Archery Hunt In Zone X7b - Buck,Page 70
A15,2026-08-16,2026-09-07,Archery Hunt In Zone X8 - Buck,Page 70
A16,2026-08-16,2026-09-07,Archery Hunt In Zone X9a - Buck,Page 70
A17,2026-08-16,2026-09-07,Archery Hunt In Zone X9b - Buck,Page 70
A18,2026-08-16,2026-09-07,Archery Hunt in Zone X9c - Buck,Page 70
A20,2026-08-16,2026-09-07,Archery Hunt In Zone X12 - Buck,Page 70
A21,2026-11-08,2026-11-21,Anderson Flat Archery Buck,Page 70
A22,2026-09-06,2026-10-19,San Diego Archery Either-sex Deer - Split Season Hunt,Page 70
A24,2026-10-11,2026-11-09,Monterey Archery Either-sex,Page 70
A25,2026-10-04,2026-10-27,Lake Sonoma Archery Either-sex,Page 70
A26,2026-11-15,2026-12-07,Bass Hill Archery Buck,Page 70
A27,2026-10-25,2026-11-09,Devil’s Garden Archery Buck,Page 70
A30,2026-11-08,2026-11-23,Covelo Archery Buck,Page 70
A31,2026-09-27,2026-12-31,Los Angeles Archery Either-sex,Page 70
A32,2026-11-08,2026-11-30,Ventura/Los Angeles Late Season Archery Either-sex,Page 70
A33,2026-10-04,2026-11-11,Fort Hunter Liggett Late Season Archery Either-sex,Page 70
